TIME_DATE,STATUS,SENSOR_ID,INT
17:13:56/18/4,ENTERED,IR_ENTRANCE,1
17:13:56/18/4,ENTERED,IR_ENTRANCE,2
17:13:58/18/4,ENTERED,IR_ENTRANCE,3
17:14:0/18/4,ENTERED,IR_ENTRANCE,4
17:14:9/18/4,ENTERED,IR_ENTRANCE,5
17:14:18/18/4,EXITED,IR_EXIT,4
17:14:37/18/4,EXITED,IR_EXIT,3
17:14:44/18/4,EXITED,IR_EXIT,2
17:14:50/18/4,ENTERED,IR_ENTRANCE,3
17:14:59/18/4,ENTERED,IR_ENTRANCE,4
17:15:18/18/4,ENTERED,IR_ENTRANCE,5
17:15:23/18/4,ENTERED,IR_ENTRANCE,6
17:15:25/18/4,EXITED,IR_EXIT,5
17:15:39/18/4,ENTERED,IR_ENTRANCE,6
17:15:43/18/4,EXITED,IR_EXIT,5
17:15:51/18/4,ENTERED,IR_ENTRANCE,6
17:16:0/18/4,ENTERED,IR_ENTRANCE,7
17:16:3/18/4,ENTERED,IR_ENTRANCE,8
17:16:7/18/4,ENTERED,IR_ENTRANCE,9
17:16:20/18/4,ENTERED,IR_ENTRANCE,10
17:16:22/18/4,ENTERED,IR_ENTRANCE,11
17:16:25/18/4,ENTERED,IR_ENTRANCE,12
17:16:34/18/4,EXITED,IR_EXIT,11
17:16:38/18/4,EXITED,IR_EXIT,10
17:16:57/18/4,ENTERED,IR_ENTRANCE,11
17:17:6/18/4,EXITED,IR_EXIT,10
17:17:21/18/4,EXITED,IR_EXIT,9
17:17:35/18/4,ENTERED,IR_ENTRANCE,10
17:17:38/18/4,ENTERED,IR_ENTRANCE,11
17:17:55/18/4,EXITED,IR_EXIT,10
17:18:5/18/4,EXITED,IR_EXIT,9
17:18:9/18/4,ENTERED,IR_ENTRANCE,10
17:18:16/18/4,EXITED,IR_EXIT,9
17:18:20/18/4,EXITED,IR_EXIT,8
17:18:22/18/4,EXITED,IR_EXIT,7
17:18:33/18/4,EXITED,IR_EXIT,6
17:18:52/18/4,EXITED,IR_EXIT,5
17:18:57/18/4,ENTERED,IR_ENTRANCE,6
17:19:9/18/4,ENTERED,IR_ENTRANCE,7
17:19:27/18/4,EXITED,IR_EXIT,6
17:19:37/18/4,ENTERED,IR_ENTRANCE,7
17:19:53/18/4,EXITED,IR_EXIT,6
17:20:6/18/4,EXITED,IR_EXIT,5
17:20:13/18/4,ENTERED,IR_ENTRANCE,6
17:20:15/18/4,ENTERED,IR_ENTRANCE,7
17:20:17/18/4,ENTERED,IR_ENTRANCE,8
17:20:24/18/4,EXITED,IR_EXIT,7
17:20:25/18/4,ENTERED,IR_ENTRANCE,8
17:45:58/18/4,ENTERED,IR_ENTRANCE,9
17:46:16/18/4,EXITED,IR_EXIT,8
17:46:35/18/4,ENTERED,IR_ENTRANCE,9
17:46:45/18/4,EXITED,IR_EXIT,8
17:46:57/18/4,ENTERED,IR_ENTRANCE,9
17:47:15/18/4,EXITED,IR_EXIT,8
17:47:25/18/4,EXITED,IR_EXIT,7
17:47:30/18/4,ENTERED,IR_ENTRANCE,8
17:47:45/18/4,ENTERED,IR_ENTRANCE,9
17:47:54/18/4,EXITED,IR_EXIT,8
17:48:1/18/4,ENTERED,IR_ENTRANCE,9
17:51:2/18/4,EXITED,IR_EXIT,10
17:51:16/18/4,ENTERED,IR_ENTRANCE,11
17:51:20/18/4,ENTERED,IR_ENTRANCE,12
17:51:36/18/4,ENTERED,IR_ENTRANCE,13
17:51:48/18/4,ENTERED,IR_ENTRANCE,14
17:51:52/18/4,EXITED,IR_EXIT,13
17:52:11/18/4,EXITED,IR_EXIT,12
17:52:24/18/4,EXITED,IR_EXIT,11
17:52:32/18/4,EXITED,IR_EXIT,10
17:52:44/18/4,ENTERED,IR_ENTRANCE,11
17:52:59/18/4,ENTERED,IR_ENTRANCE,12
17:53:16/18/4,ENTERED,IR_ENTRANCE,13
17:53:21/18/4,EXITED,IR_EXIT,12
17:53:31/18/4,EXITED,IR_EXIT,11
17:53:46/18/4,ENTERED,IR_ENTRANCE,12
17:53:59/18/4,ENTERED,IR_ENTRANCE,13
17:54:13/18/4,EXITED,IR_EXIT,12
17:54:24/18/4,ENTERED,IR_ENTRANCE,13
17:54:26/18/4,EXITED,IR_EXIT,12
17:54:37/18/4,EXITED,IR_EXIT,11
17:54:56/18/4,EXITED,IR_EXIT,10
17:55:5/18/4,EXITED,IR_EXIT,9
18:48:1/18/4,ENTERED,IR_ENTRANCE,10
18:48:4/18/4,ENTERED,IR_ENTRANCE,11
18:48:20/18/4,ENTERED,IR_ENTRANCE,12
18:48:35/18/4,ENTERED,IR_ENTRANCE,13
18:48:44/18/4,ENTERED,IR_ENTRANCE,14
18:48:55/18/4,ENTERED,IR_ENTRANCE,15
18:49:5/18/4,ENTERED,IR_ENTRANCE,16
18:49:11/18/4,EXITED,IR_EXIT,15
18:49:26/18/4,ENTERED,IR_ENTRANCE,16
18:49:43/18/4,ENTERED,IR_ENTRANCE,17
18:49:45/18/4,ENTERED,IR_ENTRANCE,18
18:49:56/18/4,EXITED,IR_EXIT,17
18:50:2/18/4,ENTERED,IR_ENTRANCE,18
18:50:16/18/4,EXITED,IR_EXIT,17
18:50:18/18/4,ENTERED,IR_ENTRANCE,18
18:50:22/18/4,ENTERED,IR_ENTRANCE,19
18:50:25/18/4,ENTERED,IR_ENTRANCE,20
18:50:35/18/4,EXITED,IR_EXIT,19
18:53:16/18/4,EXITED,IR_EXIT,20
18:53:26/18/4,EXITED,IR_EXIT,19
18:53:41/18/4,ENTERED,IR_ENTRANCE,20
18:53:48/18/4,ENTERED,IR_ENTRANCE,21
18:54:5/18/4,ENTERED,IR_ENTRANCE,22
18:54:21/18/4,ENTERED,IR_ENTRANCE,23
18:54:34/18/4,ENTERED,IR_ENTRANCE,24
18:54:45/18/4,EXITED,IR_EXIT,23
18:54:46/18/4,EXITED,IR_EXIT,22
