timeAndDate,status,sensorID,INT
16:12:19/19/4,ENTERED,IR_ENTRANCE,1
16:12:19/19/4,ENTERED,IR_ENTRANCE,2
16:12:34/19/4,ENTERED,IR_ENTRANCE,3
16:12:43/19/4,ENTERED,IR_ENTRANCE,4
16:12:47/19/4,EXITED,IR_EXIT,3
16:12:55/19/4,EXITED,IR_EXIT,2
16:13:12/19/4,ENTERED,IR_ENTRANCE,3
16:13:16/19/4,EXITED,IR_EXIT,2
16:13:20/19/4,EXITED,IR_EXIT,1
16:13:26/19/4,ENTERED,IR_ENTRANCE,2
16:13:32/19/4,ENTERED,IR_ENTRANCE,3
16:13:49/19/4,EXITED,IR_EXIT,2
16:14:6/19/4,ENTERED,IR_ENTRANCE,3
16:14:24/19/4,ENTERED,IR_ENTRANCE,4
16:14:30/19/4,ENTERED,IR_ENTRANCE,5
16:14:37/19/4,ENTERED,IR_ENTRANCE,6
16:14:49/19/4,ENTERED,IR_ENTRANCE,7
16:15:3/19/4,ENTERED,IR_ENTRANCE,8
16:15:15/19/4,EXITED,IR_EXIT,7
16:15:21/19/4,ENTERED,IR_ENTRANCE,8
16:15:37/19/4,ENTERED,IR_ENTRANCE,9
16:15:49/19/4,ENTERED,IR_ENTRANCE,10
16:16:1/19/4,ENTERED,IR_ENTRANCE,11
16:16:12/19/4,ENTERED,IR_ENTRANCE,12
16:23:26/19/4,EXITED,IR_EXIT,13
16:23:32/19/4,EXITED,IR_EXIT,12
16:23:44/19/4,EXITED,IR_EXIT,11
16:23:45/19/4,ENTERED,IR_ENTRANCE,12
16:23:49/19/4,EXITED,IR_EXIT,11
16:23:59/19/4,EXITED,IR_EXIT,10
16:24:11/19/4,ENTERED,IR_ENTRANCE,11
16:24:25/19/4,EXITED,IR_EXIT,10
16:24:40/19/4,EXITED,IR_EXIT,9
16:24:50/19/4,EXITED,IR_EXIT,8
16:24:51/19/4,EXITED,IR_EXIT,7
16:25:2/19/4,ENTERED,IR_ENTRANCE,8
16:25:21/19/4,ENTERED,IR_ENTRANCE,9
16:28:8/19/4,EXITED,IR_EXIT,10
16:28:26/19/4,ENTERED,IR_ENTRANCE,11
16:28:40/19/4,ENTERED,IR_ENTRANCE,12
16:28:53/19/4,EXITED,IR_EXIT,11
16:29:2/19/4,ENTERED,IR_ENTRANCE,12
16:29:3/19/4,ENTERED,IR_ENTRANCE,13
16:29:4/19/4,ENTERED,IR_ENTRANCE,14
16:29:5/19/4,ENTERED,IR_ENTRANCE,15
16:29:6/19/4,ENTERED,IR_ENTRANCE,16
16:29:7/19/4,ENTERED,IR_ENTRANCE,17
16:29:8/19/4,ENTERED,IR_ENTRANCE,18
16:29:9/19/4,ENTERED,IR_ENTRANCE,19
16:29:10/19/4,ENTERED,IR_ENTRANCE,20
16:29:11/19/4,ENTERED,IR_ENTRANCE,21
16:29:12/19/4,ENTERED,IR_ENTRANCE,22
16:29:13/19/4,ENTERED,IR_ENTRANCE,23
16:29:28/19/4,ENTERED,IR_ENTRANCE,24
16:29:40/19/4,ENTERED,IR_ENTRANCE,25
16:29:56/19/4,EXITED,IR_EXIT,24
16:30:3/19/4,EXITED,IR_EXIT,23
16:30:12/19/4,ENTERED,IR_ENTRANCE,24
16:30:29/19/4,ENTERED,IR_ENTRANCE,25
16:30:40/19/4,EXITED,IR_EXIT,24
16:30:44/19/4,ENTERED,IR_ENTRANCE,25
16:31:3/19/4,EXITED,IR_EXIT,24
16:31:5/19/4,ENTERED,IR_ENTRANCE,25
16:31:15/19/4,EXITED,IR_EXIT,24
16:31:25/19/4,EXITED,IR_EXIT,23
16:31:38/19/4,EXITED,IR_EXIT,22
16:31:39/19/4,ENTERED,IR_ENTRANCE,23
16:31:40/19/4,ENTERED,IR_ENTRANCE,24
16:31:45/19/4,EXITED,IR_EXIT,23
16:31:49/19/4,ENTERED,IR_ENTRANCE,24
16:31:54/19/4,ENTERED,IR_ENTRANCE,25
16:31:55/19/4,ENTERED,IR_ENTRANCE,26
16:31:56/19/4,ENTERED,IR_ENTRANCE,27
16:32:15/19/4,EXITED,IR_EXIT,26
16:32:25/19/4,ENTERED,IR_ENTRANCE,27
16:32:32/19/4,ENTERED,IR_ENTRANCE,28
16:32:45/19/4,EXITED,IR_EXIT,27
16:32:46/19/4,EXITED,IR_EXIT,26
16:33:4/19/4,ENTERED,IR_ENTRANCE,27
16:33:11/19/4,EXITED,IR_EXIT,26
16:33:15/19/4,EXITED,IR_EXIT,25
16:33:34/19/4,ENTERED,IR_ENTRANCE,26
16:33:51/19/4,EXITED,IR_EXIT,25
16:33:52/19/4,ENTERED,IR_ENTRANCE,26
16:33:53/19/4,ENTERED,IR_ENTRANCE,27
16:33:57/19/4,EXITED,IR_EXIT,26
16:34:12/19/4,EXITED,IR_EXIT,25
17:0:50/19/4,ENTERED,IR_ENTRANCE,24
17:0:55/19/4,EXITED,IR_EXIT,23
17:26:23/19/4,EXITED,IR_EXIT,22
17:26:24/19/4,ENTERED,IR_ENTRANCE,23
17:26:41/19/4,EXITED,IR_EXIT,22
17:26:56/19/4,EXITED,IR_EXIT,21
17:26:57/19/4,EXITED,IR_EXIT,20
17:27:3/19/4,ENTERED,IR_ENTRANCE,21
17:27:4/19/4,ENTERED,IR_ENTRANCE,22
17:27:5/19/4,ENTERED,IR_ENTRANCE,23
17:27:6/19/4,ENTERED,IR_ENTRANCE,24
17:27:7/19/4,ENTERED,IR_ENTRANCE,25
17:27:8/19/4,ENTERED,IR_ENTRANCE,26
17:27:9/19/4,ENTERED,IR_ENTRANCE,27
17:27:10/19/4,ENTERED,IR_ENTRANCE,28
17:27:21/19/4,ENTERED,IR_ENTRANCE,29
17:27:32/19/4,EXITED,IR_EXIT,28
17:27:40/19/4,ENTERED,IR_ENTRANCE,29
17:27:55/19/4,EXITED,IR_EXIT,28
17:27:57/19/4,EXITED,IR_EXIT,27
17:28:10/19/4,ENTERED,IR_ENTRANCE,28
17:28:28/19/4,ENTERED,IR_ENTRANCE,29
17:28:29/19/4,ENTERED,IR_ENTRANCE,30
17:28:46/19/4,ENTERED,IR_ENTRANCE,31
17:28:57/19/4,EXITED,IR_EXIT,30
17:29:2/19/4,ENTERED,IR_ENTRANCE,31
17:29:3/19/4,ENTERED,IR_ENTRANCE,32
17:29:5/19/4,ENTERED,IR_ENTRANCE,33
17:29:6/19/4,EXITED,IR_EXIT,32
17:29:10/19/4,ENTERED,IR_ENTRANCE,33
17:29:28/19/4,ENTERED,IR_ENTRANCE,34
17:29:31/19/4,EXITED,IR_EXIT,33
17:29:39/19/4,ENTERED,IR_ENTRANCE,34
17:29:47/19/4,EXITED,IR_EXIT,33
17:42:48/19/4,ENTERED,IR_ENTRANCE,34
17:42:57/19/4,ENTERED,IR_ENTRANCE,35
17:43:7/19/4,ENTERED,IR_ENTRANCE,36
17:43:18/19/4,ENTERED,IR_ENTRANCE,37
17:43:31/19/4,EXITED,IR_EXIT,36
17:45:0/19/4,ENTERED,IR_ENTRANCE,37
17:47:12/19/4,EXITED,IR_EXIT,36
17:47:13/19/4,ENTERED,IR_ENTRANCE,37
17:47:17/19/4,ENTERED,IR_ENTRANCE,38
17:47:34/19/4,ENTERED,IR_ENTRANCE,39
17:47:35/19/4,ENTERED,IR_ENTRANCE,40
17:47:36/19/4,ENTERED,IR_ENTRANCE,41
17:47:37/19/4,ENTERED,IR_ENTRANCE,42
17:47:38/19/4,ENTERED,IR_ENTRANCE,43
17:47:39/19/4,ENTERED,IR_ENTRANCE,44
17:47:40/19/4,ENTERED,IR_ENTRANCE,45
17:47:41/19/4,ENTERED,IR_ENTRANCE,46
17:47:42/19/4,ENTERED,IR_ENTRANCE,47
17:47:43/19/4,ENTERED,IR_ENTRANCE,48
17:47:44/19/4,ENTERED,IR_ENTRANCE,49
17:47:54/19/4,ENTERED,IR_ENTRANCE,50
17:47:55/19/4,EXITED,IR_EXIT,49
17:48:0/19/4,EXITED,IR_EXIT,48
17:48:3/19/4,EXITED,IR_EXIT,47
17:48:17/19/4,EXITED,IR_EXIT,46
17:48:25/19/4,EXITED,IR_EXIT,45
17:48:32/19/4,ENTERED,IR_ENTRANCE,46
17:48:38/19/4,ENTERED,IR_ENTRANCE,47
17:48:51/19/4,ENTERED,IR_ENTRANCE,48
17:48:59/19/4,ENTERED,IR_ENTRANCE,49
17:49:9/19/4,ENTERED,IR_ENTRANCE,50
17:49:11/19/4,ENTERED,IR_ENTRANCE,51
17:49:16/19/4,ENTERED,IR_ENTRANCE,52
17:49:25/19/4,ENTERED,IR_ENTRANCE,53
17:49:38/19/4,ENTERED,IR_ENTRANCE,54
17:49:54/19/4,ENTERED,IR_ENTRANCE,55
17:50:13/19/4,EXITED,IR_EXIT,54
